traits	patch	samp.dates	short.names
2_22763_2015.852055	3	2015.852055	2_22763
2_22762_2015.794521	3	2015.794521	2_22762
2_22757_2015.586301	3	2015.586301	2_22757
2_22754_2015.575342	3	2015.575342	2_22754
2_22753_2015.665753	3	2015.665753	2_22753
2_22751_2015.567123	3	2015.567123	2_22751
2_22750_2015.575342	3	2015.575342	2_22750
2_22747_2015.610959	3	2015.610959	2_22747
2_22745_2015.594521	3	2015.594521	2_22745
2_22743_2015.583562	3	2015.583562	2_22743
2_22742_2015.589041	3	2015.589041	2_22742
2_22739_2015.550685	3	2015.550685	2_22739
2_22738_2015.534247	3	2015.534247	2_22738
2_22736_2015.556164	3	2015.556164	2_22736
2_22734_2015.547945	3	2015.547945	2_22734
2_22733_2015.536986	3	2015.536986	2_22733
2_22732_2015.567123	3	2015.567123	2_22732
2_22731_2015.547945	3	2015.547945	2_22731
2_22730_2015.550685	3	2015.550685	2_22730
2_22728_2015.545205	3	2015.545205	2_22728
2_22726_2015.515068	3	2015.515068	2_22726
2_22724_2015.509589	3	2015.509589	2_22724
2_22720_2015.493151	3	2015.493151	2_22720
2_22719_2015.49589	3	2015.49589	2_22719
2_22717_2015.479452	3	2015.479452	2_22717
2_22716_2015.473973	3	2015.473973	2_22716
2_22714_2015.468493	3	2015.468493	2_22714
2_22712_2015.443836	3	2015.443836	2_22712
2_22706_2015.424658	3	2015.424658	2_22706
2_22705_2015.463014	3	2015.463014	2_22705
1_7299_2015.493151	2	2015.493151	1_7299
2_22702_2015.427397	3	2015.427397	2_22702
2_22700_2015.432877	3	2015.432877	2_22700
2_22699_2015.471233	3	2015.471233	2_22699
2_22698_2015.410959	3	2015.410959	2_22698
2_22696_2015.446575	3	2015.446575	2_22696
2_22695_2015.476712	3	2015.476712	2_22695
2_22693_2015.389041	3	2015.389041	2_22693
2_22689_2015.438356	3	2015.438356	2_22689
2_22687_2015.413699	3	2015.413699	2_22687
2_22685_2015.40274	3	2015.40274	2_22685
2_22683_2015.408219	3	2015.408219	2_22683
2_22681_2015.482192	3	2015.482192	2_22681
1_7297_2015.410959	2	2015.410959	1_7297
2_22675_2015.334247	3	2015.334247	2_22675
2_22674_2015.326027	3	2015.326027	2_22674
1_7296_2015.323288	2	2015.323288	1_7296
2_22672_2015.353425	3	2015.353425	2_22672
2_22671_2015.336986	3	2015.336986	2_22671
2_22669_2015.449315	3	2015.449315	2_22669
2_22668_2015.320548	3	2015.320548	2_22668
2_22666_2015.29589	3	2015.29589	2_22666
2_22665_2015.257534	3	2015.257534	2_22665
2_22662_2015.326027	3	2015.326027	2_22662
2_22659_2015.235616	3	2015.235616	2_22659
2_22656_2015.216438	3	2015.216438	2_22656
2_22654_2015.358904	3	2015.358904	2_22654
2_22653_2015.227397	3	2015.227397	2_22653
2_22651_2015.235616	3	2015.235616	2_22651
2_22645_2015.139726	3	2015.139726	2_22645
2_22691_2015.39726	3	2015.39726	2_22691
2_22644_2015.186301	3	2015.186301	2_22644
2_22641_2015.147945	3	2015.147945	2_22641
2_22640_2015.115068	3	2015.115068	2_22640
2_22639_2015.117808	3	2015.117808	2_22639
2_22636_2015.131507	3	2015.131507	2_22636
2_22635_2015.10137	3	2015.10137	2_22635
2_22631_2015.082192	3	2015.082192	2_22631
2_22628_2015.115068	3	2015.115068	2_22628
2_22626_2015.079452	3	2015.079452	2_22626
2_22625_2015.043836	3	2015.043836	2_22625
2_22620_2015.063014	3	2015.063014	2_22620
2_22614_2014.994521	3	2014.994521	2_22614
