traits	regions
2_22549_2014.739726	Region3
5_5665_2012.60929	Region6
5_5628_2012.581967	Region6
2_21959_2012.47541	Region3
5_5564_2012.382514	Region6
2_21846_2012.062842	Region3
2_21654_2011.712329	Region3
2_21580_2011.476712	Region3
2_21476_2011.419178	Region3
2_21458_2011.317808	Region3
2_21281_2011.060274	Region3
2_21160_2010.917808	Region3
5_4197_2011.035616	Region6
2_21078_2010.838356	Region3
2_20874_2010.690411	Region3
2_20741_2010.624658	Region3
2_20740_2010.632877	Region3
2_20711_2010.663014	Region3
2_20682_2010.608219	Region3
5_3742_2010.520548	Region6
2_20454_2010.378082	Region3
2_19882_2010.076712	Region3
2_19704_2009.983562	Region3
5_3074_2009.854795	Region6
2_19393_2009.805479	Region3
2_19231_2009.745205	Region3
2_19102_2009.70137	Region3
2_19087_2009.663014	Region3
2_19053_2009.641096	Region3
2_19037_2009.671233	Region3
2_18983_2009.630137	Region3
2_18926_2009.619178	Region3
2_18709_2009.569863	Region3
2_18701_2009.531507	Region3
2_18602_2009.589041	Region3
2_18581_2009.49589	Region3
2_20046_2010.145205	Region3
2_18771_2009.575342	Region3
2_18058_2009.421918	Region3
2_21645_2011.687671	Region3
2_17865_2009.284932	Region3
5_4386_2011.117808	Region6
2_17608_2009.19726	Region3
3_6681_2009.252055	Region4
2_17532_2009.150685	Region3
5_2115_2009.254795	Region6
2_17206_2009.10137	Region3
2_17063_2009.090411	Region3
2_17470_2009.153425	Region3
2_16839_2008.953552	Region3
2_16784_2008.989071	Region3
2_16756_2008.95082	Region3
2_16737_2008.997268	Region3
2_16577_2008.860656	Region3
2_16487_2008.827869	Region3
2_16349_2008.775956	Region3
2_16251_2008.860656	Region3
2_16065_2008.734973	Region3
2_16010_2008.775956	Region3
5_1518_2008.68306	Region6
2_20468_2010.39726	Region3
2_15673_2008.595628	Region3
2_17253_2009.115068	Region3
2_15524_2008.581967	Region3
3_6489_2008.625683	Region4
2_15162_2008.510929	Region3
3_6444_2008.472678	Region4
3_6429_2008.423497	Region4
3_6368_2008.360656	Region4
3_6359_2008.396175	Region4
2_14719_2008.36612	Region3
2_14671_2008.368852	Region3
2_14502_2008.336066	Region3
2_14482_2008.286885	Region3
2_14469_2008.29235	Region3
3_1846_2001.709589	Region4
5_6258_2013.909589	Region6
4_6743_2001.715068	Region5
2_22581_2014.90137	Region3
2_5048_2003.564384	Region3
0_7230_2001.643836	Region1
