traits	regions
2_22751_2015.567123	Region3
2_22589_2014.920548	Region3
2_22263_2013.19726	Region3
2_22209_2013.041096	Region3
2_22199_2012.969945	Region3
2_22174_2013	Region3
2_22078_2012.836066	Region3
2_22029_2012.718579	Region3
2_21915_2012.254098	Region3
2_21415_2011.213699	Region3
5_4344_2011.09589	Region6
2_21325_2011.057534	Region3
2_21262_2010.994521	Region3
2_21246_2010.978082	Region3
2_20935_2010.786301	Region3
2_20504_2010.441096	Region3
2_20485_2010.430137	Region3
2_20404_2010.350685	Region3
2_20183_2010.194521	Region3
2_20119_2010.150685	Region3
2_20027_2010.09863	Region3
2_19995_2010.10137	Region3
2_19895_2010.027397	Region3
2_19832_2010.005479	Region3
2_19778_2009.950685	Region3
2_19709_2009.931507	Region3
2_19704_2009.983562	Region3
2_19593_2009.879452	Region3
2_19570_2009.917808	Region3
2_19503_2009.813699	Region3
2_19471_2009.865753	Region3
2_19439_2009.778082	Region3
2_19250_2009.726027	Region3
2_19235_2009.756164	Region3
2_19179_2009.775342	Region3
2_19097_2009.728767	Region3
2_18723_2009.526027	Region3
2_18599_2009.506849	Region3
2_18567_2009.586301	Region3
2_18526_2009.487671	Region3
2_18525_2009.493151	Region3
2_18524_2009.512329	Region3
2_18459_2009.49863	Region3
2_18279_2009.427397	Region3
2_18157_2009.383562	Region3
2_18079_2009.334247	Region3
2_18055_2009.317808	Region3
2_17865_2009.284932	Region3
2_17779_2009.224658	Region3
2_17763_2009.241096	Region3
2_17678_2009.210959	Region3
2_17542_2009.235616	Region3
2_17515_2009.150685	Region3
2_22417_2014.183562	Region3
2_20873_2010.79726	Region3
2_20797_2010.690411	Region3
2_17239_2009.136986	Region3
2_17229_2009.084932	Region3
2_17176_2009.076712	Region3
3_6656_2009.027397	Region4
2_17030_2009.00274	Region3
2_17022_2009.035616	Region3
2_16995_2008.97541	Region3
2_16840_2008.945355	Region3
2_16738_2008.937158	Region3
3_6633_2008.937158	Region4
2_16631_2008.877049	Region3
2_16617_2008.942623	Region3
2_16511_2008.89071	Region3
2_16783_2008.961749	Region3
2_16243_2008.811475	Region3
2_16176_2008.811475	Region3
2_16051_2008.789617	Region3
2_16005_2008.696721	Region3
2_15995_2008.693989	Region3
3_6573_2008.721311	Region4
2_22586_2014.90411	Region3
2_15663_2008.628415	Region3
2_15556_2008.557377	Region3
2_15447_2008.562842	Region3
2_15383_2008.592896	Region3
2_15243_2008.543716	Region3
2_15209_2008.538251	Region3
2_15197_2008.480874	Region3
2_15004_2008.540984	Region3
2_14999_2008.486339	Region3
2_14981_2008.42623	Region3
2_14786_2008.363388	Region3
2_15714_2008.598361	Region3
2_14766_2008.379781	Region3
3_6311_2008.319672	Region4
3_6309_2008.363388	Region4
2_14534_2008.333333	Region3
2_14501_2008.297814	Region3
2_14469_2008.29235	Region3
2_3723_2001.709589	Region3
3_1623_2001.476712	Region4
2_3538_2001.526027	Region3
2_3520_2001.465753	Region3
3_1590_2001.394521	Region4
2_3459_2001.372603	Region3
2_12682_2007.767123	Region3
2_10701_2007.090411	Region3
2_14901_2008.516393	Region3
3_1439_2001.147945	Region4
2_4246_2002.572603	Region3
3_6238_2008.29235	Region4
2_6929_2005.726027	Region3
2_3069_2001.043836	Region3
3_1291_2000.964481	Region4
3_4230_2004.964481	Region4
3_2940_2002.465753	Region4
2_14852_2008.434426	Region3
2_13264_2007.942466	Region3
3_1127_2000.797814	Region4
3_1141_2000.699454	Region4
2_1347_1997.778082	Region3
2_13753_2008.043716	Region3
3_2691_2002.279452	Region4
3_2609_2002.216438	Region4
2_3279_2001.150685	Region3
2_11619_2007.369863	Region3
2_9327_2006.769863	Region3
2_8295_2006.284932	Region3
2_9697_2006.728767	Region3
2_4674_2003.057534	Region3
2_8316_2006.405479	Region3
2_2128_1999.70411	Region3
2_3110_2001.052055	Region3
3_3549_2003.238356	Region4
2_15630_2008.595628	Region3
3_2154_2001.90411	Region4
3_3057_2002.569863	Region4
2_2275_2000.150273	Region3
2_4936_2003.265753	Region3
3_1385_2001.145205	Region4
3_5530_2007.254795	Region4
2_18388_2009.468493	Region3
2_2153_1999.841096	Region3
4_4096_1999.260274	Region5
2_2130_1999.723288	Region3
2_2098_1999.665753	Region3
2_10168_2006.945205	Region3
2_2095_1999.613699	Region3
2_5850_2004.800546	Region3
2_22682_2015.380822	Region3
3_5644_2007.482192	Region4
2_15957_2008.674863	Region3
2_18185_2009.430137	Region3
2_19139_2009.690411	Region3
2_19690_2009.912329	Region3
2_15253_2008.516393	Region3
2_10294_2006.947945	Region3
2_17935_2009.40274	Region3
2_1758_1999.158904	Region3
2_22478_2014.336986	Region3
3_658_1999.093151	Region4
2_1626_1998.947945	Region3
2_3087_2000.983607	Region3
