from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	3.14	2	4	4	0.99	422.6798206344431	0.12	725.9999999999994
Region3	Region1	Region3.Region1	0.44	0	1	NA	0.23	1.27530314503374	0.99	0.003017184835366656
Region4	Region1	Region4.Region1	0.56	0	1	NA	0.56	5.433900357100284	0.56	1
Region5	Region1	Region5.Region1	0	0	0	NA	0.04	0.17789554740506883	0.25	0.12500000000000003
Region6	Region1	Region6.Region1	0	0	0	NA	0.15	0.7534399654802915	0.29	0.43204868154158216
Region1	Region2	Region1.Region2	4.69	4	6	7	0.99	422.6798206344431	0.24	313.4999999999998
Region3	Region2	Region3.Region2	3.07	2	4	5	0.99	422.6798206344431	0.99	1
Region4	Region2	Region4.Region2	0.13	0	1	NA	0.23	1.27530314503374	0.27	0.8075998075998075
Region5	Region2	Region5.Region2	0.15	0	1	1	0.23	1.27530314503374	0.14	1.8348794063079776
Region6	Region2	Region6.Region2	0	0	0	NA	0.21	1.1349285555968944	0.19	1.1332445036642238
Region1	Region3	Region1.Region3	1.73	1	3	1	0.77	14.293520504546398	0.95	0.17620137299771185
Region2	Region3	Region2.Region3	4.17	3	5	9	0.99	422.6798206344431	0.3	230.99999999999977
Region4	Region3	Region4.Region3	1.21	1	2	1	0.75	12.808479413164953	0.99	0.030303030303030328
Region5	Region3	Region5.Region3	1.05	1	2	NA	0.89	34.54408084156609	0.61	5.172876304023846
Region6	Region3	Region6.Region3	0	0	0	NA	0.34	2.1994358588263054	0.39	0.8057498057498058
Region1	Region4	Region1.Region4	0.57	0	2	2	0.31	1.9181780763676985	0.5	0.44927536231884063
Region2	Region4	Region2.Region4	1.51	1	4	4	0.75	12.808479413164953	0.22	10.636363636363637
Region3	Region4	Region3.Region4	8.39	7	10	5	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	3.18	3	5	3	0.99	422.6798206344431	0.5	98.99999999999991
Region6	Region4	Region6.Region4	0	0	0	NA	0.28	1.660358442447309	0.35	0.7222222222222223
Region1	Region5	Region1.Region5	3.2	3	4	3	0.99	422.6798206344431	0.29	242.37931034482736
Region2	Region5	Region2.Region5	0.42	0	1	2	0.34	2.1994358588263054	0.07	6.844155844155844
Region3	Region5	Region3.Region5	1.26	1	3	1	0.65	7.929058684340211	0.99	0.018759018759018777
Region4	Region5	Region4.Region5	4.68	4	6	4	0.99	422.6798206344431	0.44	125.9999999999999
Region6	Region5	Region6.Region5	0	0	0	NA	0.23	1.27530314503374	0.15	1.6926406926406925
Region1	Region6	Region1.Region6	0	0	0	NA	0.08	0.37126027284536095	0.25	0.2608695652173913
Region2	Region6	Region2.Region6	0	0	0	NA	0.1	0.47438812641351685	0.15	0.6296296296296297
Region3	Region6	Region3.Region6	0	0	0	NA	0.04	0.17789554740506883	0.99	4.208754208754213e-4
Region4	Region6	Region4.Region6	0.02	0	0	NA	0.15	0.7534399654802915	0.32	0.375
Region5	Region6	Region5.Region6	0.99	1	1	1	0.98	209.20516374836072	0.2	195.99999999999983
