from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	0.18	0	1	2	0.31	1.9181780763676985	0.16	2.358695652173913
Region3	Region1	Region3.Region1	0	0	0	NA	0.07	0.32135969853818885	0.99	7.602910828717289e-4
Region4	Region1	Region4.Region1	0	0	0	NA	0.12	0.5822036096893161	0.42	0.18831168831168832
Region5	Region1	Region5.Region1	0.01	0	0	NA	0.23	1.27530314503374	0.25	0.8961038961038961
Region6	Region1	Region6.Region1	0	0	0	NA	0.5	4.269493137721652	0.16	5.249999999999999
Region1	Region2	Region1.Region2	6.78	5	8	8	0.99	422.6798206344431	0.16	519.7499999999995
Region3	Region2	Region3.Region2	1.15	0	2	1	0.89	34.54408084156609	0.99	0.08172635445362726
Region4	Region2	Region4.Region2	0.13	0	1	NA	0.18	0.9372058107193868	0.24	0.6951219512195121
Region5	Region2	Region5.Region2	0	0	0	NA	0.11	0.5276901630891928	0.14	0.7592295345104333
Region6	Region2	Region6.Region2	0	0	0	NA	0.19	1.0014860446507576	0.28	0.603174603174603
Region1	Region3	Region1.Region3	5.12	4	6	1	0.99	422.6798206344431	0.48	107.24999999999991
Region2	Region3	Region2.Region3	0.62	0	2	6	0.35	2.2989578433885813	0.22	1.909090909090909
Region4	Region3	Region4.Region3	3.42	3	5	3	0.99	422.6798206344431	0.99	1
Region5	Region3	Region5.Region3	0	0	0	NA	0.14	0.6950337666058503	0.34	0.3160054719562243
Region6	Region3	Region6.Region3	0.01	0	0	NA	0.2	1.067373284430413	0.3	0.5833333333333333
Region1	Region4	Region1.Region4	0.74	0	2	1	0.21	1.1349285555968944	0.41	0.3825254708243286
Region2	Region4	Region2.Region4	3.95	2	5	5	0.99	422.6798206344431	0.22	350.9999999999997
Region3	Region4	Region3.Region4	10.82	10	12	9	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	3.53	2	5	6	0.99	422.6798206344431	0.32	210.3749999999998
Region6	Region4	Region6.Region4	0	0	0	NA	0.18	0.9372058107193868	0.35	0.4076655052264808
Region1	Region5	Region1.Region5	3.02	3	3	2	0.99	422.6798206344431	0.08	1138.499999999999
Region2	Region5	Region2.Region5	0.02	0	0	2	0.09	0.4222575630713721	0.11	0.8001998001998002
Region3	Region5	Region3.Region5	1.01	1	1	1	0.16	0.8132367881374575	0.99	0.0019240019240019258
Region4	Region5	Region4.Region5	2.92	2	4	1	0.99	422.6798206344431	0.29	242.37931034482736
Region6	Region5	Region6.Region5	0	0	0	NA	0.21	1.1349285555968944	0.14	1.6329113924050631
Region1	Region6	Region1.Region6	0.08	0	1	NA	0.16	0.8132367881374575	0.12	1.396825396825397
Region2	Region6	Region2.Region6	0	0	0	1	0.07	0.32135969853818885	0.12	0.5519713261648748
Region3	Region6	Region3.Region6	0.86	0	1	NA	0.57	5.659560670933351	0.99	0.013389711064129678
Region4	Region6	Region4.Region6	1.07	1	2	1	0.88	31.309616343292113	0.21	27.587301587301592
Region5	Region6	Region5.Region6	0	0	0	NA	0.07	0.32135969853818885	0.11	0.6089931573802543
